,SME_offers,SME,Social_clause,G_clause,G_criterion,G_weight,Price_weight,Award_price,Legal_status,Departement,Procedure_type,CPV,Framework,Advertising,Id_contract,Allotment,Month,Contract_type,SME_ratio,Other_offers,SIREN,Participation
416380,3.0,1,0,0,0,0.0,50.0,12.048833869103682,41,28,open,45261210,0,44.0,22-107445,1,2022_September,Works,0.75,1.0,393448881,1
1152079,2.0,1,0,0,1,10.0,70.0,11.720144491418694,72,32,open,45220000,1,31.0,22-107653,1,2022_August,Works,0.4,3.0,223200015,1
1152081,1.0,0,0,0,1,10.0,70.0,11.733048458990933,72,32,open,45220000,1,31.0,22-107653,1,2022_August,Works,0.16666666666666666,5.0,223200015,1
1152084,1.0,0,0,0,1,10.0,70.0,11.579652558185819,72,32,open,45220000,1,31.0,22-107653,1,2022_August,Works,0.2,4.0,223200015,1
1152088,2.0,1,0,0,1,10.0,70.0,11.732000752108485,72,32,open,45220000,1,31.0,22-107653,1,2022_August,Works,0.3333333333333333,4.0,223200015,1
1080522,0.0,0,0,0,0,0.0,45.0,13.705696808027874,72,55,open,71314000,0,46.0,22-107710,1,2022_August,Services,0.0,1.0,215501818,0
369748,0.0,0,0,0,0,0.0,40.0,13.074223002076394,72,62,open,55523100,0,37.0,22-107747,0,2022_August,Services,0.0,3.0,216200147,0
631231,0.0,0,0,0,0,0.0,30.0,13.51979631381523,73,50,open,55321000,0,35.0,22-10778,0,2022_January,Services,0.0,1.0,200056885,0
503202,1.0,0,0,1,1,10.0,60.0,10.596634733096073,72,95,open,60100000,1,29.0,22-107841,1,2022_August,Services,0.5,1.0,219505633,1
503203,1.0,0,0,1,1,10.0,60.0,9.903487552536127,72,95,open,60100000,1,29.0,22-107841,1,2022_August,Services,0.5,1.0,219505633,1
503204,1.0,0,0,1,1,10.0,60.0,10.778956289890028,72,95,open,60100000,1,29.0,22-107841,1,2022_August,Services,0.5,1.0,219505633,1
805234,0.0,0,0,0,0,0.0,40.0,12.765688433465597,73,73,open,60182000,1,34.0,22-108469,1,2022_August,Services,0.0,1.0,200023364,0
805235,0.0,0,0,0,0,0.0,40.0,12.765688433465597,73,73,open,60182000,1,34.0,22-108469,1,2022_August,Services,0.0,2.0,200023364,0
661769,3.0,1,0,0,0,0.0,40.0,10.308952660644293,73,60,open,71351810,1,41.0,22-10854,1,2022_January,Services,0.6,2.0,200067999,1
661770,3.0,1,0,0,0,0.0,40.0,9.210340371976184,73,60,open,71351810,1,41.0,22-10854,1,2022_January,Services,0.6,2.0,200067999,1
1098697,0.0,0,0,0,0,0.0,50.0,12.46453700756198,73,52,open,16310000,1,36.0,22-108636,0,2022_August,Supplies,0.0,3.0,130007834,0
553397,0.0,0,0,0,0,0.0,45.0,12.793859310432293,72,44,open,55523100,1,33.0,22-108782,0,2022_August,Services,0.0,4.0,214400798,0
571957,0.0,0,0,0,0,0.0,30.0,13.081541382884074,72,44,open,55321000,0,35.0,22-108786,0,2022_August,Services,0.0,2.0,200058121,0
194283,3.0,0,0,1,1,10.0,40.0,14.060856208479269,72,13,open,60130000,1,44.0,22-108797,0,2022_August,Services,0.75,1.0,221300015,1
673371,0.0,0,0,0,0,0.0,40.0,14.690979295318174,73,54,open,71300000,1,64.0,22-108799,0,2022_August,Services,0.0,4.0,245400262,0
1000758,0.0,1,0,0,0,0.0,45.0,14.720323673277976,73,11,negotiated,45232420,0,30.0,22-108960,0,2022_August,Works,0.0,4.0,241100593,0
91059,0.0,0,1,0,0,0.0,100.0,18.630982187253277,73,75,negotiated,60112000,0,27.0,22-109053,0,2022_August,Services,0.0,3.0,287500078,0
184517,2.0,1,0,1,1,15.0,60.0,13.015989014643838,72,13,open,44211100,0,29.0,22-109214,0,2022_August,Supplies,0.6666666666666666,1.0,211300017,1
1008674,2.0,1,0,0,0,0.0,70.0,10.126631103850338,73,22,open,90512000,1,37.0,22-109215,0,2022_August,Services,0.6666666666666666,1.0,252203161,1
1007309,2.0,1,1,0,0,0.0,60.0,13.196654189984578,73,22,open,79620000,1,31.0,22-109222,0,2022_August,Services,0.6666666666666666,1.0,252203161,1
1008670,0.0,0,0,0,0,0.0,70.0,13.076696331220875,73,22,open,90513000,1,41.0,22-109233,1,2022_August,Services,0.0,1.0,252203161,0
1008671,0.0,0,0,0,0,0.0,70.0,10.411599497604435,73,22,open,90513000,1,41.0,22-109233,1,2022_August,Services,0.0,2.0,252203161,0
1008672,0.0,0,0,0,0,0.0,70.0,9.948154944031288,73,22,open,90513000,1,41.0,22-109233,1,2022_August,Services,0.0,2.0,252203161,0
1009794,2.0,1,0,0,0,0.0,40.0,10.36239863634992,73,22,open,32400000,0,47.0,22-109286,1,2022_August,Supplies,0.6666666666666666,1.0,252203161,1
1009795,1.0,1,0,0,0,0.0,40.0,10.110095135210239,73,22,open,45262400,0,47.0,22-109286,1,2022_August,Works,0.5,1.0,252203161,1
1009797,1.0,1,0,0,0,0.0,40.0,9.109414453386222,73,22,open,32400000,0,47.0,22-109286,1,2022_August,Supplies,0.5,1.0,252203161,1
1009329,1.0,1,0,0,0,0.0,40.0,11.243109505457587,73,22,open,31110000,1,34.0,22-109342,1,2022_August,Supplies,0.5,1.0,252203161,1
1009561,1.0,0,0,0,0,0.0,50.0,11.082819242945613,73,22,open,24113200,1,40.0,22-109400,1,2022_August,Supplies,0.5,1.0,252203161,1
1009562,0.0,0,0,0,0,0.0,50.0,9.782677189143735,73,22,open,31700000,1,40.0,22-109400,1,2022_August,Supplies,0.0,1.0,252203161,0
1009567,0.0,0,0,0,0,0.0,50.0,12.665340603123367,73,22,open,43411000,1,40.0,22-109400,1,2022_August,Supplies,0.0,2.0,252203161,0
194284,1.0,0,0,0,0,0.0,80.0,12.611537753638338,72,13,open,09135100,1,30.0,22-109419,0,2022_August,Supplies,0.5,1.0,211300017,1
1091112,4.0,1,0,0,0,0.0,100.0,13.278162982720705,72,04,negotiated,79341200,0,38.0,22-109466,1,2022_August,Services,0.8,1.0,210401121,1
1009803,0.0,0,0,1,0,0.0,40.0,11.892730826297814,73,22,open,42415200,0,34.0,22-109501,1,2022_August,Supplies,0.0,4.0,252203161,0
1009805,1.0,0,0,1,1,5.0,35.0,11.582917836790264,73,22,open,34138000,0,34.0,22-109501,1,2022_August,Supplies,0.5,1.0,252203161,1
1009807,1.0,0,0,1,1,5.0,40.0,11.62177986988231,73,22,open,34139000,0,34.0,22-109501,1,2022_August,Supplies,0.5,1.0,252203161,1
